id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license;;
1342043490398914341,ĞÑ‚Ğ´ĞµĞ»ÑŒĞ½Ğ°Ñ ĞºĞ²Ğ°Ñ€Ñ‚Ğ¸Ñ€Ğ° Ğ½Ğ° Ğ¤Ğ°Ñ‚Ğ¸Ñ…(Ğ‘Ğ°Ğ»Ğ°Ñ‚).,444141348,Diana,,Fatih,41.031098414270616,28.945878628297447,Entire home/apt,2290,5,4,2025-09-19,0.58,2,180,4,A28394518;;
1342082318675744621,Blue standart 7,304448264,Harun & Emre,,Beyoglu,41.0384596,28.983504,Private room,1101,7,4,2025-09-02,0.67,7,328,4,12-9738;;
1342210705450176162,Central Located Stylish Flat,380165223,Merve,,Beyoglu,41.03428415635824,28.98130365125515,Entire home/apt,3430,2,26,2025-08-19,3.44,13,327,26,2022-34-2652;;
1342423666721201645,Grand Aura NiÅŸantaÅŸÄ± (3+1 buyuk daire),211277594,Eda,,Sisli,41.05474241348088,28.989057244964854,Entire home/apt,3178,100,1,2025-04-07,0.17,5,364,1,;;
1342517182143105214,GeniÅŸ bir oda,211277594,Eda,,Sisli,41.055171002242545,28.98832824954398,Private room,1860,1,2,2025-09-08,1.13,5,364,2,Non-real estate listing;;
1342688408548327473,Yeni Binada Full EÅŸyalÄ± Oda,260948258,Soykan,,Kadikoy,40.9847,29.03187,Private room,950,100,0,,,1,365,0,;;
1342742162755077558,Loft Flat â€¢ Sea â€‹â€‹View Terrace | In The Taksim,377740041,Fatih,,Beyoglu,41.02835,28.97668,Entire home/apt,3063,1,41,2025-09-21,5.10,54,108,41,2022-34-67854;;
1342778231911332045,mÄ±sÄ±rlarÄ±,538079262,Waddah,,Bahcelievler,40.994114641556116,28.84361860276402,Entire home/apt,3827,5,0,,,45,365,0,Non-real estate listing;;
1342779065192536556,Åile Kumbabaâ€™da BahÃ§eli Villa (Villa Fika),145594968,Aysel,,Sile,41.16546210856382,29.579231701791286,Entire home/apt,6236,2,19,2025-09-21,3.11,1,266,19,34-2871;;
1342810450077117869,Sea view in BeyoÄŸlu,505772071,Sena,,Beyoglu,41.0342,28.97331,Private room,943,30,0,,,5,365,0,11-2012;;
1342818485767972516,Room in BeyoÄŸlu with sea view,505772071,Sena,,Beyoglu,41.03556410146093,28.971526907799507,Private room,976,30,0,,,5,365,0,11-2012;;
1342823694350834456,Room in BeyoÄŸlu with sea view,505772071,Sena,,Beyoglu,41.0341177186104,28.972952116766326,Private room,830,30,0,,,5,365,0,11-2012;;
1342826876350381548,Room in BeyoÄŸlu with sea view,505772071,Sena,,Beyoglu,41.03430964767937,28.9719710311186,Private room,879,30,0,,,5,365,0,11-2012;;
1342842087545423170,StÃ¼dyo (1+0 )kiralÄ±k oda,492721093,Deniz,,Beyoglu,41.03766505012282,28.983017347221363,Private room,1440,100,1,2025-05-02,0.20,3,365,1,;;
1342864028656286646,Architectural Studio â€¢ w Balcony | InThe Taksim,377740041,Fatih,,Beyoglu,41.02862243054453,28.977118181374554,Entire home/apt,2114,1,31,2025-09-28,3.86,54,103,31,2022-34-57845;;
1342934907504976919,Happy house,470888360,Orhan Ali,,Uskudar,41.02173,29.02619,Private room,,100,0,,,1,89,0,05531626229;;
1342944421349945746,Unique Studio â€¢ Sea â€‹â€‹View Terrace | In The Taksim,377740041,Fatih,,Beyoglu,41.02788686623081,28.975311143750222,Entire home/apt,2464,1,27,2025-09-30,3.35,54,106,27,2022-34-56783;;
1343307515071666612,Balcony Studioâ€¢ Sea â€‹â€‹View Terrace | In The Taksim,377740041,Fatih,,Beyoglu,41.027996979224824,28.975671654113167,Entire home/apt,2212,1,15,2025-08-23,1.92,54,107,15,2022-34-57863;;
1343324199406185772,Authentic Charming Central 3Bed/1.5Bath Home! #379,21636586,Nicholas Alexander,,Beyoglu,41.028387766548704,28.971426615827117,Entire home/apt,4271,3,7,2025-08-26,1.03,127,356,7,342365;;
1343346245355871972,Erasmus & Arts House,1806816,Safak,,Beyoglu,41.036167858731424,28.971910112391928,Private room,733,100,0,,,7,365,0,;;
"1343356244959863763,""YÃ¼ksek Katta,Balkonlu LÃ¼ks 2+1"",367862161,Ã–nder,,Kagithane,41.08364,28.998436,Entire home/apt,4991,3,1,2025-09-23,1,29,364,1,34-2327";;
1343358582836795841,Apartment  1 at Sultanahmet,27787812,Tevfik,,Fatih,41.00653753245225,28.970585465060488,Entire home/apt,2866,2,2,2025-07-22,0.36,4,328,2,34-1344;;
1343367193374512660,Platine Home 1+1 Daire,140003574,Veysel,,Beyoglu,41.034112686290975,28.983508050262444,Private room,2708,1,9,2025-09-01,1.31,11,90,9,34-55688;;
1343368078199393797,the sun is shining,671712123,Nader,,Kadikoy,40.98716252635925,29.025398120284077,Private room,913,100,0,,,1,180,0,;;
1343390267869368372,DelÃ¼xe Double Room,675474449,Onur,,Bahcelievler,41.0195654,28.8270085,Private room,,1,1,2025-02-22,0.14,1,365,1,24391;;
1343394730937131731,Erasmus Guests House,1806816,Safak,,Beyoglu,41.035473351742006,28.97278974907377,Private room,,100,0,,,7,92,0,;;
1343416988450578391,Kaboom Design GuestHouse @ downtown,1806816,Safak,,Beyoglu,41.036700485585705,28.97245885019573,Private room,815,100,0,,,7,265,0,;;
